2023-01-04 18:51:55.762068	checkhand	((3, 5, 8, 3, 7),)	пара
2023-01-04 18:51:55.763068	checkhand	((9, 6, 6, 7, 11),)	пара
2023-01-04 18:51:55.763068	checkhand	((12, 10, 8, 2, 10),)	пара
2023-01-04 18:51:55.763068	checkhand	((7, 6, 11, 6, 6),)	сет
2023-01-04 18:51:55.764069	checkhand	((4, 7, 10, 2, 7),)	пара
2023-01-04 18:51:55.764069	checkhand	((11, 13, 12, 9, 7),)	старшая карта
2023-01-04 18:51:55.765069	checkhand	((12, 9, 6, 13, 4),)	старшая карта
2023-01-04 18:51:55.765069	checkhand	((2, 7, 11, 10, 5),)	старшая карта
2023-01-04 18:51:55.765069	checkhand	((3, 6, 12, 1, 9),)	старшая карта
2023-01-04 18:51:55.766069	checkhand	((8, 10, 10, 5, 2),)	пара
2023-01-04 18:51:55.766069	checkhand	((12, 9, 8, 11, 7),)	старшая карта
2023-01-04 18:51:55.767069	checkhand	((1, 13, 3, 12, 1),)	пара
2023-01-04 18:51:55.767069	checkhand	((5, 12, 6, 3, 7),)	старшая карта
2023-01-04 18:51:55.768071	checkhand	((9, 5, 7, 3, 11),)	старшая карта
2023-01-04 18:51:55.768071	checkhand	((8, 1, 3, 3, 11),)	пара
2023-01-04 18:51:55.769070	checkhand	((7, 6, 5, 3, 8),)	старшая карта
2023-01-04 18:51:55.769070	checkhand	((7, 1, 11, 4, 2),)	старшая карта
2023-01-04 18:51:55.769070	checkhand	((11, 4, 3, 1, 2),)	старшая карта
2023-01-04 18:51:55.770072	checkhand	((7, 5, 9, 1, 4),)	старшая карта
2023-01-04 18:51:55.770072	checkhand	((12, 2, 6, 10, 13),)	старшая карта
2023-01-04 18:51:55.770072	checkhand	((10, 10, 3, 4, 2),)	пара
2023-01-04 18:51:55.771071	checkhand	((6, 2, 7, 9, 11),)	старшая карта
2023-01-04 18:51:55.771071	checkhand	((11, 5, 13, 8, 8),)	пара
2023-01-04 18:51:55.772071	checkhand	((8, 13, 7, 2, 7),)	пара
2023-01-04 18:51:55.772071	checkhand	((13, 6, 8, 9, 12),)	старшая карта
2023-01-04 18:51:55.772071	checkhand	((9, 10, 6, 5, 13),)	старшая карта
2023-01-04 18:51:55.773071	checkhand	((1, 6, 12, 12, 2),)	пара
2023-01-04 18:51:55.773071	checkhand	((11, 7, 11, 3, 2),)	пара
2023-01-04 18:51:55.774071	checkhand	((2, 10, 3, 11, 4),)	старшая карта
2023-01-04 18:51:55.774071	checkhand	((5, 8, 1, 8, 6),)	пара
2023-01-04 18:51:55.774071	checkhand	((11, 10, 3, 3, 1),)	пара
2023-01-04 18:51:55.775072	checkhand	((8, 13, 4, 11, 6),)	старшая карта
2023-01-04 18:51:55.775072	checkhand	((13, 3, 8, 8, 3),)	две пары
2023-01-04 18:51:55.778072	checkhand	((3, 10, 10, 6, 6),)	две пары
2023-01-04 18:51:55.778072	checkhand	((2, 1, 11, 8, 13),)	старшая карта
2023-01-04 18:51:55.778072	checkhand	((3, 1, 10, 10, 10),)	сет
2023-01-04 18:51:55.779073	checkhand	((7, 3, 9, 6, 5),)	старшая карта
2023-01-04 18:51:55.779073	checkhand	((3, 5, 9, 5, 6),)	пара
2023-01-04 18:51:55.780073	checkhand	((12, 3, 5, 2, 5),)	пара
2023-01-04 18:51:55.780073	checkhand	((5, 1, 5, 13, 5),)	сет
2023-01-04 18:51:55.780073	checkhand	((11, 3, 7, 7, 2),)	пара
2023-01-04 18:51:55.781073	checkhand	((2, 5, 11, 10, 9),)	старшая карта
2023-01-04 18:51:55.781073	checkhand	((5, 6, 4, 1, 11),)	старшая карта
2023-01-04 18:51:55.782074	checkhand	((12, 5, 11, 6, 7),)	старшая карта
2023-01-04 18:51:55.782074	checkhand	((4, 12, 9, 1, 11),)	старшая карта
2023-01-04 18:51:55.783074	checkhand	((12, 8, 10, 4, 5),)	старшая карта
2023-01-04 18:51:55.784073	checkhand	((12, 12, 1, 4, 11),)	пара
2023-01-04 18:51:55.784073	checkhand	((2, 10, 3, 13, 4),)	старшая карта
2023-01-04 18:51:55.785073	checkhand	((8, 13, 11, 3, 12),)	старшая карта
2023-01-04 18:51:55.785073	checkhand	((1, 1, 9, 3, 7),)	пара
2023-01-04 18:51:55.785073	checkhand	((1, 3, 12, 7, 12),)	пара
2023-01-04 18:51:55.786074	checkhand	((6, 7, 6, 6, 13),)	сет
2023-01-04 18:51:55.786074	checkhand	((1, 1, 3, 5, 10),)	пара
2023-01-04 18:51:55.787075	checkhand	((4, 2, 10, 4, 3),)	пара
2023-01-04 18:51:55.787075	checkhand	((9, 5, 4, 1, 1),)	пара
2023-01-04 18:51:55.788075	checkhand	((13, 3, 12, 11, 10),)	старшая карта
2023-01-04 18:51:55.788075	checkhand	((7, 6, 1, 4, 4),)	пара
2023-01-04 18:51:55.789074	checkhand	((5, 8, 1, 12, 3),)	старшая карта
2023-01-04 18:51:55.789074	checkhand	((5, 12, 13, 11, 11),)	пара
2023-01-04 18:51:55.790075	checkhand	((12, 11, 2, 9, 9),)	пара
2023-01-04 18:51:55.790075	checkhand	((8, 8, 8, 10, 4),)	сет
2023-01-04 18:51:55.791075	checkhand	((5, 1, 13, 9, 11),)	старшая карта
